"nutrient_id"	"amount"	"fdc_id"	"name"	"unit_name"	"NDB_number"	"Food_Name"
1259	0	167714	"SFA 4:0"	"G"	43392	"Palm hearts, raw†"
1260	0	167714	"SFA 6:0"	"G"	43392	"Palm hearts, raw†"
1262	0	167714	"SFA 10:0"	"G"	43392	"Palm hearts, raw†"
1265	0.034	167714	"SFA 16:0"	"G"	43392	"Palm hearts, raw†"
1266	0.004	167714	"SFA 18:0"	"G"	43392	"Palm hearts, raw†"
1268	0.005	167714	"MUFA 18:1"	"G"	43392	"Palm hearts, raw†"
1269	0.076	167714	"PUFA 18:2"	"G"	43392	"Palm hearts, raw†"
1270	0.013	167714	"PUFA 18:3"	"G"	43392	"Palm hearts, raw†"
1271	0	167714	"PUFA 20:4"	"G"	43392	"Palm hearts, raw†"
1276	0	167714	"PUFA 18:4"	"G"	43392	"Palm hearts, raw†"
1277	0	167714	"MUFA 20:1"	"G"	43392	"Palm hearts, raw†"
1279	0	167714	"MUFA 22:1"	"G"	43392	"Palm hearts, raw†"
1292	0.005	167714	"Fatty acids, total monounsaturated"	"G"	43392	"Palm hearts, raw†"
1293	0.089	167714	"Fatty acids, total polyunsaturated"	"G"	43392	"Palm hearts, raw†"
1167	0.9	167714	"Niacin"	"MG"	43392	"Palm hearts, raw†"
1175	0.81	167714	"Vitamin B-6"	"MG"	43392	"Palm hearts, raw†"
1180	0	167714	"Choline, total"	"MG"	43392	"Palm hearts, raw†"
1087	18	167714	"Calcium, Ca"	"MG"	43392	"Palm hearts, raw†"
1092	1806	167714	"Potassium, K"	"MG"	43392	"Palm hearts, raw†"
1095	3.73	167714	"Zinc, Zn"	"MG"	43392	"Palm hearts, raw†"
1004	0.2	167714	"Total lipid (fat)"	"G"	43392	"Palm hearts, raw†"
1005	25.61	167714	"Carbohydrate, by difference"	"G"	43392	"Palm hearts, raw†"
1008	115	167714	"Energy"	"KCAL"	43392	"Palm hearts, raw†"
1051	69.5	167714	"Water"	"G"	43392	"Palm hearts, raw†"
1257	0	167714	"Fatty acids, total trans"	"G"	43392	"Palm hearts, raw†"
1242	0	167714	"Vitamin E, added"	"MG"	43392	"Palm hearts, raw†"
1246	0	167714	"Vitamin B-12, added"	"UG"	43392	"Palm hearts, raw†"
1114	0	167714	"Vitamin D (D2 + D3)"	"UG"	43392	"Palm hearts, raw†"
1103	0.7	167714	"Selenium, Se"	"UG"	43392	"Palm hearts, raw†"
1057	0	167744	"Caffeine"	"MG"	90560	"Mollusks, snail, raw†"
1058	0	167744	"Theobromine"	"MG"	90560	"Mollusks, snail, raw†"
2000	0	167744	NA	NA	90560	"Mollusks, snail, raw†"
1109	5	167744	"Vitamin E (alpha-tocopherol)"	"MG"	90560	"Mollusks, snail, raw†"
1123	0	167744	"Lutein + zeaxanthin"	"UG"	90560	"Mollusks, snail, raw†"
1186	0	167744	"Folic acid"	"UG"	90560	"Mollusks, snail, raw†"
1007	1.3	167744	"Ash"	"G"	90560	"Mollusks, snail, raw†"
1107	0	167744	"Carotene, beta"	"UG"	90560	"Mollusks, snail, raw†"
1108	0	167744	"Carotene, alpha"	"UG"	90560	"Mollusks, snail, raw†"
1120	0	167744	"Cryptoxanthin, beta"	"UG"	90560	"Mollusks, snail, raw†"
1122	0	167744	"Lycopene"	"UG"	90560	"Mollusks, snail, raw†"
1185	0.1	167744	"Vitamin K (phylloquinone)"	"UG"	90560	"Mollusks, snail, raw†"
1187	6	167744	"Folate, food"	"UG"	90560	"Mollusks, snail, raw†"
1103	27.4	167744	"Selenium, Se"	"UG"	90560	"Mollusks, snail, raw†"
1003	16.1	167744	"Protein"	"G"	90560	"Mollusks, snail, raw†"
1018	0	167744	"Alcohol, ethyl"	"G"	90560	"Mollusks, snail, raw†"
1062	377	167744	"Energy"	"kJ"	90560	"Mollusks, snail, raw†"
1079	0	167744	"Fiber, total dietary"	"G"	90560	"Mollusks, snail, raw†"
1089	3.5	167744	"Iron, Fe"	"MG"	90560	"Mollusks, snail, raw†"
1090	250	167744	"Magnesium, Mg"	"MG"	90560	"Mollusks, snail, raw†"
1091	272	167744	"Phosphorus, P"	"MG"	90560	"Mollusks, snail, raw†"
1093	70	167744	"Sodium, Na"	"MG"	90560	"Mollusks, snail, raw†"
1098	0.4	167744	"Copper, Cu"	"MG"	90560	"Mollusks, snail, raw†"
1104	100	167744	"Vitamin A, IU"	"IU"	90560	"Mollusks, snail, raw†"
1105	30	167744	"Retinol"	"UG"	90560	"Mollusks, snail, raw†"
1106	30	167744	"Vitamin A, RAE"	"UG"	90560	"Mollusks, snail, raw†"
1162	0	167744	"Vitamin C, total ascorbic acid"	"MG"	90560	"Mollusks, snail, raw†"
1165	0.01	167744	"Thiamin"	"MG"	90560	"Mollusks, snail, raw†"
1166	0.12	167744	"Riboflavin"	"MG"	90560	"Mollusks, snail, raw†"
1177	6	167744	"Folate, total"	"UG"	90560	"Mollusks, snail, raw†"
1178	0.5	167744	"Vitamin B-12"	"UG"	90560	"Mollusks, snail, raw†"
1112	0	167744	"Vitamin D3 (cholecalciferol)"	"UG"	90560	"Mollusks, snail, raw†"
1114	0	167744	"Vitamin D (D2 + D3)"	"UG"	90560	"Mollusks, snail, raw†"
1253	50	167744	"Cholesterol"	"MG"	90560	"Mollusks, snail, raw†"
1258	0.361	167744	"Fatty acids, total saturated"	"G"	90560	"Mollusks, snail, raw†"
1261	0	167744	"SFA 8:0"	"G"	90560	"Mollusks, snail, raw†"
1263	0	167744	"SFA 12:0"	"G"	90560	"Mollusks, snail, raw†"
1264	0.056	167744	"SFA 14:0"	"G"	90560	"Mollusks, snail, raw†"
1272	0	167744	"PUFA 22:6 n-3 (DHA)"	"G"	90560	"Mollusks, snail, raw†"
1275	0.048	167744	"MUFA 16:1"	"G"	90560	"Mollusks, snail, raw†"
1278	0.119	167744	"PUFA 2:5 n-3 (EPA)"	"G"	90560	"Mollusks, snail, raw†"
1280	0.099	167744	"PUFA 22:5 n-3 (DPA)"	"G"	90560	"Mollusks, snail, raw†"
1110	0	167744	"Vitamin D (D2 + D3), International Units"	"IU"	90560	"Mollusks, snail, raw†"
1167	1.4	167744	"Niacin"	"MG"	90560	"Mollusks, snail, raw†"
1175	0.13	167744	"Vitamin B-6"	"MG"	90560	"Mollusks, snail, raw†"
